close,date,high,low,open,volume
1305.45,2016-10-13T09:15:00+0530,1309.7,1296.05,1309.3,12483
1301.6,2016-10-13T09:18:00+0530,1306.9,1301.3,1305.45,7363
1299.3,2016-10-13T09:21:00+0530,1301.9,1295,1301.6,8683
1300.05,2016-10-13T09:24:00+0530,1301.9,1298,1299.3,6407
1299,2016-10-13T09:27:00+0530,1302,1299,1300.05,5189
1292.95,2016-10-13T09:30:00+0530,1298.2,1291.7,1298.2,5369
1293.4,2016-10-13T09:33:00+0530,1294.95,1290.6,1292,5653
1301,2016-10-13T09:36:00+0530,1306,1293,1293.4,9327
1297.95,2016-10-13T09:39:00+0530,1301.95,1296.05,1301.45,3732
1297.55,2016-10-13T09:42:00+0530,1298.95,1296.65,1297.95,1655
1297.2,2016-10-13T09:45:00+0530,1298.65,1297.2,1297.55,1008
1297,2016-10-13T09:48:00+0530,1297.95,1296.1,1297.2,1930
1295,2016-10-13T09:51:00+0530,1298.7,1295,1297,7280
1293.35,2016-10-13T09:54:00+0530,1295.95,1290,1295,4817
1296.35,2016-10-13T09:57:00+0530,1297,1291.25,1293.35,2980
1293.95,2016-10-13T10:00:00+0530,1296.35,1292.7,1296.35,2313
1311.2,2016-10-13T10:03:00+0530,1311.2,1293.95,1293.95,26629
1306.5,2016-10-13T10:06:00+0530,1312,1300.05,1311.9,22326
1316.05,2016-10-13T10:09:00+0530,1318,1305.1,1308,32633
1316,2016-10-13T10:12:00+0530,1318.95,1308.85,1316.95,22267
1316.9,2016-10-13T10:15:00+0530,1323,1312.1,1315.95,25586
1317.15,2016-10-13T10:18:00+0530,1318,1315.15,1316.95,10636
1326,2016-10-13T10:21:00+0530,1326,1315.7,1317.7,22125
1324.55,2016-10-13T10:24:00+0530,1335,1323.4,1327,65838
1323.05,2016-10-13T10:27:00+0530,1327.9,1321.55,1324.55,10159
1326.75,2016-10-13T10:30:00+0530,1327.55,1323,1323.05,5092
1329.7,2016-10-13T10:33:00+0530,1329.7,1325,1326.4,6170
1325.2,2016-10-13T10:36:00+0530,1329.7,1325,1329.7,2614
1320.25,2016-10-13T10:39:00+0530,1325.2,1318.6,1325.2,6696
1322,2016-10-13T10:42:00+0530,1322,1319,1320.25,3047
1320.9,2016-10-13T10:45:00+0530,1322.35,1319,1322,1137
1318,2016-10-13T10:48:00+0530,1322.9,1318,1320.9,1719
1316.6,2016-10-13T10:51:00+0530,1319.9,1316,1318,2565
1318,2016-10-13T10:54:00+0530,1318.95,1315.1,1316,2698
1319.9,2016-10-13T10:57:00+0530,1320.1,1318,1318,1790
1316.1,2016-10-13T11:00:00+0530,1320,1314,1319.9,6861
1317.9,2016-10-13T11:03:00+0530,1319.5,1315.1,1318.15,2351
1316.7,2016-10-13T11:06:00+0530,1317.9,1313.3,1317.9,2496
1315,2016-10-13T11:09:00+0530,1316.7,1314,1316.7,1539
1319.5,2016-10-13T11:12:00+0530,1319.5,1314,1315,1864
1318.8,2016-10-13T11:15:00+0530,1320,1317.4,1319.5,1265
1318.55,2016-10-13T11:18:00+0530,1319.65,1315,1318.8,1649
1316.25,2016-10-13T11:21:00+0530,1318.55,1316.25,1318.55,895
1317.05,2016-10-13T11:24:00+0530,1318.45,1315.2,1316.25,977
1316.6,2016-10-13T11:27:00+0530,1318.75,1315.25,1317.05,522
1317.45,2016-10-13T11:30:00+0530,1317.75,1316.5,1316.6,237
1315.45,2016-10-13T11:33:00+0530,1317.95,1314.05,1317.45,1376
1316,2016-10-13T11:36:00+0530,1317.85,1313.75,1315.45,722
1314.35,2016-10-13T11:39:00+0530,1316,1314.1,1316,879
1312,2016-10-13T11:42:00+0530,1315,1311,1314.35,15307
1313.5,2016-10-13T11:45:00+0530,1313.5,1311.1,1312,2517
1316.1,2016-10-13T11:48:00+0530,1317.05,1313.5,1313.5,1198
1315.4,2016-10-13T11:51:00+0530,1316.8,1313,1316.1,622
1315.1,2016-10-13T11:54:00+0530,1315.45,1314.45,1315.4,734
1315.4,2016-10-13T11:57:00+0530,1315.4,1314.15,1315.1,370
1314.6,2016-10-13T12:00:00+0530,1315.45,1314.6,1315.4,334
1313.35,2016-10-13T12:03:00+0530,1314.95,1313.05,1314.6,398
1313,2016-10-13T12:06:00+0530,1314.15,1313,1313.35,829
1314.9,2016-10-13T12:09:00+0530,1314.9,1313,1313,563
1315,2016-10-13T12:12:00+0530,1315.45,1314,1314.9,1761
1316.85,2016-10-13T12:15:00+0530,1316.85,1314.05,1315,917
1318.1,2016-10-13T12:18:00+0530,1320,1316,1316,6247
1314,2016-10-13T12:21:00+0530,1319.8,1314,1318.1,1919
1314.9,2016-10-13T12:24:00+0530,1315.05,1313.55,1314,981
1314.95,2016-10-13T12:27:00+0530,1315,1313,1314.9,2150
1311,2016-10-13T12:30:00+0530,1315,1311,1315,1591
1308.45,2016-10-13T12:33:00+0530,1313.9,1306.45,1311,8231
1312,2016-10-13T12:36:00+0530,1312.5,1307.05,1308.45,4261
1313,2016-10-13T12:39:00+0530,1313.35,1311.25,1311.4,2900
1312.85,2016-10-13T12:42:00+0530,1313,1311,1311.95,2609
1314.7,2016-10-13T12:45:00+0530,1317.7,1312.85,1312.85,2181
1305.7,2016-10-13T12:48:00+0530,1314.7,1303,1314.7,15455
1305.85,2016-10-13T12:51:00+0530,1309.7,1305,1305.75,4895
1307.6,2016-10-13T12:54:00+0530,1310.8,1305.15,1305.85,3200
1312.1,2016-10-13T12:57:00+0530,1314,1307.6,1307.6,5559
1314,2016-10-13T13:00:00+0530,1314.8,1309.35,1312.1,3136
1303,2016-10-13T13:03:00+0530,1314,1303,1314,3461
1309,2016-10-13T13:06:00+0530,1314.75,1304.15,1304.25,3671
1309.8,2016-10-13T13:09:00+0530,1309.8,1307,1309,1508
1302.25,2016-10-13T13:12:00+0530,1309.8,1302.25,1309.8,5543
1305.9,2016-10-13T13:15:00+0530,1306.8,1302.25,1302.25,5784
1306.7,2016-10-13T13:18:00+0530,1308.45,1305,1305.95,3715
1307.5,2016-10-13T13:21:00+0530,1307.9,1305.6,1306.7,941
1306.65,2016-10-13T13:24:00+0530,1307.5,1305.4,1307.5,749
1308.05,2016-10-13T13:27:00+0530,1309.45,1306,1306.65,3336
1307.4,2016-10-13T13:30:00+0530,1309.5,1307.4,1308.05,987
1307.05,2016-10-13T13:33:00+0530,1309.1,1307.05,1307.4,1653
1312,2016-10-13T13:36:00+0530,1312,1307.05,1307.05,3077
1313,2016-10-13T13:39:00+0530,1313.9,1309.15,1309.15,3332
1310,2016-10-13T13:42:00+0530,1313,1308.65,1313,3242
1311.95,2016-10-13T13:45:00+0530,1314,1310,1310,2240
1313.2,2016-10-13T13:48:00+0530,1314.75,1311.55,1311.95,2540
1313.65,2016-10-13T13:51:00+0530,1314.45,1310.1,1314.4,1606
1313.55,2016-10-13T13:54:00+0530,1313.65,1311.4,1313.65,1680
1313.4,2016-10-13T13:57:00+0530,1314.15,1312,1313.55,2750
1315.8,2016-10-13T14:00:00+0530,1317.9,1312.5,1313.4,6092
1315.2,2016-10-13T14:03:00+0530,1317.95,1315.2,1315.8,2680
1309.65,2016-10-13T14:06:00+0530,1315.5,1308.6,1315.2,5727
1306.9,2016-10-13T14:09:00+0530,1310,1305.25,1309.65,4317
1306.5,2016-10-13T14:12:00+0530,1309.9,1305.95,1306.9,5800
1308.75,2016-10-13T14:15:00+0530,1308.95,1306.5,1306.5,2014
1308,2016-10-13T14:18:00+0530,1309.85,1307.55,1308.75,1296
1308.7,2016-10-13T14:21:00+0530,1308.95,1306.55,1307.55,862
1313,2016-10-13T14:24:00+0530,1314.15,1308.05,1308.05,1572
1313.8,2016-10-13T14:27:00+0530,1313.8,1312.4,1313,1381
1313,2016-10-13T14:30:00+0530,1313.9,1310.6,1313.8,1382
1313.5,2016-10-13T14:33:00+0530,1313.5,1311.75,1313,1503
1311.6,2016-10-13T14:36:00+0530,1314,1309.95,1312.75,2425
1311.85,2016-10-13T14:39:00+0530,1312,1310,1311.6,1113
1310.95,2016-10-13T14:42:00+0530,1314.45,1310.2,1311.85,1002
1313.4,2016-10-13T14:45:00+0530,1315,1310.35,1311,2489
1315.9,2016-10-13T14:48:00+0530,1317,1311.85,1313.4,2595
1316.25,2016-10-13T14:51:00+0530,1317,1311,1315.6,2653
1317,2016-10-13T14:54:00+0530,1318,1316.1,1316.25,4750
1315.5,2016-10-13T14:57:00+0530,1318,1314,1317,1872
1322.25,2016-10-13T15:00:00+0530,1325,1314.6,1315.5,13776
1321.35,2016-10-13T15:03:00+0530,1324.4,1320.15,1322.25,8003
1315.65,2016-10-13T15:06:00+0530,1321.8,1315.65,1321.1,3033
1316.45,2016-10-13T15:09:00+0530,1317.5,1315.65,1315.65,2830
1321,2016-10-13T15:12:00+0530,1322,1316.45,1316.45,4578
1324,2016-10-13T15:15:00+0530,1324.65,1321,1321,10093
1322.7,2016-10-13T15:18:00+0530,1324.5,1321.6,1324.5,8101
1318,2016-10-13T15:21:00+0530,1322.2,1318,1322.05,5063
1316.85,2016-10-13T15:24:00+0530,1318,1315.75,1318,8154
1320.95,2016-10-13T15:27:00+0530,1321.75,1316.85,1316.85,10683
1327.35,2016-10-14T09:15:00+0530,1333.1,1323.2,1325.45,21318
1326.7,2016-10-14T09:18:00+0530,1328.25,1324.25,1324.25,8940
1327.4,2016-10-14T09:21:00+0530,1330,1326.75,1326.75,10460
1338.45,2016-10-14T09:24:00+0530,1342,1327,1328,23468
1342,2016-10-14T09:27:00+0530,1344,1338,1338.45,23229
1343.15,2016-10-14T09:30:00+0530,1347.35,1337.05,1342.15,24288
1346.1,2016-10-14T09:33:00+0530,1346.5,1340,1343.25,14488
1343,2016-10-14T09:36:00+0530,1349.9,1341.75,1346.1,16400
1343.45,2016-10-14T09:39:00+0530,1347,1341.85,1343,8933
1341,2016-10-14T09:42:00+0530,1343.4,1341,1343.4,5403
1344,2016-10-14T09:45:00+0530,1345,1341,1341.15,5046
1342.1,2016-10-14T09:48:00+0530,1344.95,1342.1,1343.9,3614
1336,2016-10-14T09:51:00+0530,1343.5,1334,1343,19725
1328.55,2016-10-14T09:54:00+0530,1338,1326.3,1336,14884
1333.1,2016-10-14T09:57:00+0530,1334.85,1327,1328.1,4324
1334.05,2016-10-14T10:00:00+0530,1336,1333.5,1334,4889
1330.15,2016-10-14T10:03:00+0530,1335,1329.8,1334.05,4319
1335,2016-10-14T10:06:00+0530,1337,1330.65,1333.85,5934
1337.15,2016-10-14T10:09:00+0530,1338,1333.3,1334.95,3813
1336,2016-10-14T10:12:00+0530,1337.9,1335.5,1337.15,1921
1336,2016-10-14T10:15:00+0530,1337.55,1336,1336,1763
1337.5,2016-10-14T10:18:00+0530,1337.75,1336,1336,1038
1337,2016-10-14T10:21:00+0530,1337.85,1336.6,1337.5,1084
1337,2016-10-14T10:24:00+0530,1337,1336.7,1336.7,807
1338,2016-10-14T10:27:00+0530,1338,1337,1337,3271
1337.95,2016-10-14T10:30:00+0530,1338,1337.85,1337.85,4347
1337.6,2016-10-14T10:33:00+0530,1338,1337.5,1337.95,2277
1337.8,2016-10-14T10:36:00+0530,1338,1337.05,1337.95,1713
1337.9,2016-10-14T10:39:00+0530,1338,1337.1,1337.8,862
1337.6,2016-10-14T10:42:00+0530,1338,1336.6,1337.9,1077
1337.9,2016-10-14T10:45:00+0530,1338,1336,1337.6,1839
1337.8,2016-10-14T10:48:00+0530,1338,1337.1,1337.9,1794
1336.35,2016-10-14T10:51:00+0530,1337.95,1336.35,1337.8,2042
