close,date,high,low,open,volume
1305.15,2016-10-13T09:15:00+0530,1309.7,1296.05,1309.3,17970
1301,2016-10-13T09:20:00+0530,1305.15,1295,1305.15,14042
1299,2016-10-13T09:25:00+0530,1302,1298,1301,8113
1293.6,2016-10-13T09:30:00+0530,1298.2,1290.6,1298.2,9567
1300,2016-10-13T09:35:00+0530,1306,1293,1293.55,11828
1297.55,2016-10-13T09:40:00+0530,1301,1296.05,1301,4341
1297.4,2016-10-13T09:45:00+0530,1298.65,1297.2,1297.55,1810
1295,2016-10-13T09:50:00+0530,1298.7,1295,1296.65,9782
1296.35,2016-10-13T09:55:00+0530,1297,1290,1295,6423
1300,2016-10-13T10:00:00+0530,1303.1,1292.7,1296.35,13761
1307.75,2016-10-13T10:05:00+0530,1312,1298.3,1299.95,45081
1316,2016-10-13T10:10:00+0530,1318.95,1305.1,1307.1,47326
1315.95,2016-10-13T10:15:00+0530,1323,1312.1,1315.95,33191
1331.8,2016-10-13T10:20:00+0530,1332.35,1315.7,1315.95,56484
1323.05,2016-10-13T10:25:00+0530,1335,1321.55,1332,44669
1328,2016-10-13T10:30:00+0530,1329.1,1323,1323.05,9099
1322.9,2016-10-13T10:35:00+0530,1329.7,1322.9,1328.9,6409
1322,2016-10-13T10:40:00+0530,1323.7,1318.6,1322.9,8111
1321.55,2016-10-13T10:45:00+0530,1322.9,1319,1322,1829
1318,2016-10-13T10:50:00+0530,1321.55,1315.1,1321.55,5349
1319.9,2016-10-13T10:55:00+0530,1320.1,1317,1318,2731
1318.05,2016-10-13T11:00:00+0530,1320,1314,1319.9,7434
1316.7,2016-10-13T11:05:00+0530,1318.75,1313.3,1318.75,4570
1319.5,2016-10-13T11:10:00+0530,1319.5,1314,1316.7,3107
1318.85,2016-10-13T11:15:00+0530,1320,1315,1319.5,2671
1317.05,2016-10-13T11:20:00+0530,1318.85,1315.55,1318.85,1529
1316.6,2016-10-13T11:25:00+0530,1318.75,1315.2,1318.4,1108
1317,2016-10-13T11:30:00+0530,1317.95,1316.5,1316.6,679
