CLOSE,DATE,HIGH,LOW,OPEN,VOLUME
1350.05,2016-12-14T09:15:00+0530,1353,1348.25,1350.1,3036
1345.75,2016-12-14T09:16:00+0530,1350,1343.1,1350,3038
1347.35,2016-12-14T09:17:00+0530,1348.85,1345.05,1345.05,1291
1346.35,2016-12-14T09:18:00+0530,1347.95,1344.35,1347.95,1665
1345.45,2016-12-14T09:19:00+0530,1347,1343.05,1345,2016
1346.1,2016-12-14T09:20:00+0530,1347,1345.45,1345.45,821
1346.05,2016-12-14T09:21:00+0530,1346.95,1346,1346.1,826
1344.05,2016-12-14T09:22:00+0530,1346.8,1344.05,1346.8,1469
1345.15,2016-12-14T09:23:00+0530,1346.7,1343.4,1344.05,1314
1345.8,2016-12-14T09:24:00+0530,1346.4,1345,1346.35,847
1345.7,2016-12-14T09:25:00+0530,1345.8,1344.05,1345.5,1094
1346.95,2016-12-14T09:26:00+0530,1346.95,1345.5,1345.5,606
1345.55,2016-12-14T09:27:00+0530,1347.65,1345.5,1346.95,541
1344.8,2016-12-14T09:28:00+0530,1347.25,1343,1347.25,1013
1344.5,2016-12-14T09:29:00+0530,1344.95,1342.5,1344.8,1601
1343,2016-12-14T09:30:00+0530,1345.9,1342,1343.5,1645
1345.7,2016-12-14T09:31:00+0530,1345.9,1342.25,1343,574
1341.5,2016-12-14T09:32:00+0530,1345.7,1341.5,1345.7,487
1341.1,2016-12-14T09:33:00+0530,1342,1339.95,1342,2963
1337.8,2016-12-14T09:34:00+0530,1341.15,1335.3,1341.15,1437
1336,2016-12-14T09:35:00+0530,1340,1335.2,1337.8,1527
1336,2016-12-14T09:36:00+0530,1338.8,1335,1336,2134
1338.4,2016-12-14T09:37:00+0530,1338.65,1336,1336,593
1337.35,2016-12-14T09:38:00+0530,1338.7,1337.25,1338.4,74
1339.95,2016-12-14T09:39:00+0530,1339.95,1337.35,1337.35,495
1343.85,2016-12-14T09:40:00+0530,1344.45,1338.15,1338.15,1437
1340.5,2016-12-14T09:41:00+0530,1342.1,1340.05,1342.1,338
1340,2016-12-14T09:42:00+0530,1342.75,1340,1340.1,612
1339,2016-12-14T09:43:00+0530,1341.95,1339,1340,2372
1334.95,2016-12-14T09:44:00+0530,1339,1333.3,1339,2019
1337.5,2016-12-14T09:45:00+0530,1337.5,1333.3,1334.95,1705
1340.65,2016-12-14T09:46:00+0530,1341.7,1337.45,1337.5,1200
1338.2,2016-12-14T09:47:00+0530,1340.7,1338.2,1340.7,100
1338.2,2016-12-14T09:48:00+0530,1338.7,1338,1338.2,172
1339.05,2016-12-14T09:49:00+0530,1339.05,1335.2,1338.2,934
1336.75,2016-12-14T09:50:00+0530,1339.05,1335.5,1339.05,424
1337.1,2016-12-14T09:51:00+0530,1337.1,1334,1336.75,1393
1336.7,2016-12-14T09:52:00+0530,1337.1,1334.15,1337.1,310
1338.65,2016-12-14T09:53:00+0530,1339,1335.15,1335.25,1537
1337.2,2016-12-14T09:54:00+0530,1339.7,1337.2,1338.65,499
1337,2016-12-14T09:55:00+0530,1339.65,1337,1337.2,378
1339.4,2016-12-14T09:56:00+0530,1339.4,1337,1337,269
1337.7,2016-12-14T09:57:00+0530,1339.4,1337,1339.4,881
1337,2016-12-14T09:58:00+0530,1338.9,1337,1337.7,607
1337.95,2016-12-14T09:59:00+0530,1338.25,1335.95,1337,448
1336.25,2016-12-14T10:00:00+0530,1338.35,1336.25,1337.95,208
1339,2016-12-14T10:01:00+0530,1339,1336.25,1336.25,139
1338,2016-12-14T10:02:00+0530,1339.3,1337.3,1339,137
1339.1,2016-12-14T10:03:00+0530,1339.2,1337.4,1339.2,207
1339.15,2016-12-14T10:04:00+0530,1339.2,1338,1338.5,327
